school_name,enrolled_population,dtp_coverage_rate,mmr_coverage_rate
A Y JACKSON SECONDARY SCHOOL,1070,91,95.7
ACADEMIE ALEXANDRE-DUMAS,110,88.2,90
ADAM BECK JUNIOR PUBLIC SCHOOL,247,91.9,94.3
AFRICENTRIC ALTERNATIVE SCHOOL,66,71.2,72.7
AGINCOURT COLLEGIATE INSTITUTE,1253,90.7,97.8
AGINCOURT JUNIOR PUBLIC SCHOOL,109,98.2,98.2
AGNES MACPHAIL PUBLIC SCHOOL,180,95.6,97.8
ALBERT CAMPBELL COLLEGIATE INSTITUTE,1154,89.2,95
ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,262,95.4,95.4
ALEXANDER MUIR/GLADSTONE AVE JUNIOR AND SENIOR PUBLIC SCHOOL,280,90.4,93.6
ALEXANDER STIRLING PUBLIC SCHOOL,229,84.7,91.3
ALEXMUIR JUNIOR PUBLIC SCHOOL,179,91.6,95.5
ALL SAINTS CATHOLIC SCHOOL,559,93.7,94.6
ALLENBY JUNIOR PUBLIC SCHOOL,409,90.2,94.9
ALPHA ALTERNATIVE JUNIOR SCHOOL,36,69.4,69.4
ALPHA II ALTERNATIVE SCHOOL,19,57.9,68.4
ALTERNATIVE SCARBOROUGH EDUCATION 1,70,87.1,97.1
ALVIN CURLING PUBLIC SCHOOL,317,94.6,96.2
AMESBURY MIDDLE SCHOOL,268,88.4,93.3
ANCASTER PUBLIC SCHOOL,48,97.9,95.8
ANNETTE STREET JUNIOR AND SENIOR PUBLIC SCHOOL,335,90.7,93.1
ANNUNCIATION CATHOLIC SCHOOL,216,93.1,93.1
ANSON PARK PUBLIC SCHOOL,131,92.4,92.4
ANSON S TAYLOR JUNIOR PUBLIC SCHOOL,103,97.1,98.1
ARBOR GLEN PUBLIC SCHOOL,138,97.8,97.1
ARMOUR HEIGHTS PUBLIC SCHOOL,144,94.4,92.4
AVONDALE ALTERNATIVE ELEMENTARY SCHOOL,80,90,92.5
AVONDALE PUBLIC SCHOOL,195,91.3,91.8
AVONDALE SECONDARY ALTERNATIVE SCHOOL,49,69.4,91.8
BALA AVENUE COMMUNITY SCHOOL,108,93.5,96.3
BALMY BEACH COMMUNITY SCHOOL,207,94.2,96.6
BANNOCKBURN SCHOOL,43,79.1,90.7
BANTING AND BEST PUBLIC SCHOOL,186,91.9,93
BAYCREST PUBLIC SCHOOL,61,91.8,90.2
BAYVIEW MIDDLE SCHOOL,453,90.3,90.3
BEACHES ALTERNATIVE JUNIOR SCHOOL,34,82.4,82.4
BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL,378,92.6,93.4
BEDFORD PARK PUBLIC SCHOOL,474,91.4,93.9
BELLMERE JUNIOR PUBLIC SCHOOL,193,89.1,88.1
BEN HEPPNER VOCAL MUSIC ACADEMY,45,84.4,84.4
BENDALE BUSINESS & TECHNICAL INSTITUTE,324,88.6,96.3
BENDALE JUNIOR PUBLIC SCHOOL,188,94.7,93.1
BENNINGTON HEIGHTS ELEMENTARY SCHOOL,105,98.1,98.1
