school_name,enrolled_population,dtp_coverage_rate_percent,mmr_coverage_rate_percent
A Y Jackson S.S.,1027,89,96.5
Academie Alexandre-Dumas,129,86.8,89.1
Adam Beck Jr P.S.,309,96.1,95.8
Africentric Alternative School,77,71.4,72.7
Agincourt C.I.,1241,87.3,98.1
Agincourt Jr P.S.,141,99.3,98.6
Agnes MacPhail P.S.,207,94.7,96.6
Albert Campbell C.I.,1072,88.2,96.8
Albion Heights JMS,294,93.9,97.3
Alexander Muir/Gladstone Ave Jr & Sr P.S.,324,90.7,94.4
Alexander Stirling P.S.,261,92.7,93.5
Alexmuir Jr P.S.,226,96.9,98.2
All Saints C.S.,643,87.4,91
Allenby Jr P.S.,524,95.8,96.6
Alpha Alternative Jr School,49,75.5,77.6
Alpha II Alternative School,19,52.6,68.4
Alternative Scarborough Education 1,15,86.7,100
Alvin Curling P.S.,383,94.5,95.8
Amesbury Middle School,268,92.2,95.9
Ancaster P.S.,57,89.5,91.2
Annette Street Jr & Sr P.S.,384,92.2,95.3
Annunciation C.S.,253,87,89.7
Anson Park P.S.,162,92.6,93.2
Anson S Taylor Jr P.S.,122,100,100
Arbor Glen P.S.,185,97.3,96.2
Armour Heights P.S.,179,95.5,95
Avondale Alternative Elementary,94,90.4,92.6
Avondale P.S.,221,93.7,91.4
Avondale Secondary Alternative,37,73,89.2
Bala Avenue Community School,129,97.7,97.7
Balmy Beach Community School,252,96,96.8
Banting and Best P.S.,218,96.8,97.2
Baycrest P.S.,81,87.7,85.2
Bayview Middle School,443,94.6,95
Beaches Alternative Jr,44,79.5,81.8
Beaumonde Heights JMS,430,95.6,95.6
Bedford Park P.S.,534,95.5,97
Bellmere Jr P.S.,237,96.2,95.4
Ben Heppner Vocal Music Academy,45,84.4,82.2
Bendale Business & Technical Institute,285,84.2,96.5
Bendale Jr P.S.,238,99.2,98.3
Bennington Heights Elementary,129,99.2,98.4
Berner Trail Jr P.S.,158,98.1,96.8
Bessborough Dr. EMS,419,91.9,96.4
Beverley Heights Middle School,434,85.5,91.7
Beverley School,64,84.4,87.5
Beverly Glen Jr P.S.,284,97.9,98.6
Birch Cliff Heights P.S.,188,96.3,97.9
Birch Cliff P.S.,270,92.6,95.9
Birchmount Park C.I.,833,85.1,96.2
Bishop Allen Academy Catholic S.S.,1540,85.1,93.6
Bishop Marrocco/Thomas Merton Catholic S.S.,686,81,91.3
Blacksmith P.S.,93,92.5,95.7
Blake Street Jr P.S.,200,96,96.5
Blantyre P.S.,194,93.8,93.8
Blaydon P.S.,99,93.9,92.9
Blessed Cardinal Newman C.S.,973,84.8,96.1
Blessed Margherita of Citta Castello C.S.,241,90,93.8
Blessed Pier Giorgio Frassati C.S.,224,90.2,91.1
Blessed Pope Paul Vi C.S.,228,87.7,90.4
Blessed Sacrament C.S.,400,89.3,91
Blessed Trinity C.S.,158,89.2,90.5
Bliss Carman Senior P.S.,281,85.8,93.6
Bloor C.I.,834,87.4,96.6
Bloordale Middle School,368,89.4,95.7
Bloorlea Middle School,286,92.3,95.5
Blythwood Jr P.S.,269,97,96.7
Bowmore Road Jr & Sr P.S.,705,92.2,95.7
Boys' Leadership Academy,47,89.4,93.6
Braeburn Jr School,93,95.7,92.5
Brebeuf College School,852,81.6,90.6
Brian P.S.,206,93.7,93.7
Briarcrest Jr School,189,95.8,95.8
